电影名称,导演,主演,上映年份,类型,国家/地区,片长,豆瓣评分,评价人数,五星占比,短评总数,长评总数
落叶球,亚历山大·科贝里泽,乔治·博乔里什维利 / Irina Chelidze / Vakhtang Fanchulidze / David Koberidze / Otar Nijaradze,2025,剧情,德国 / 格鲁吉亚,186分钟,7.1,1434,,926,12
遇见世界,松居大悟,杉咲花 / 南琴奈 / 板垣李光人 / 苍井优 / 涩川清彦 / 筒井真理子 / 令和ロマン・くるま / 加藤千尋 / 和田光沙 / 安藤裕子 / 中山佑一朗 / 佐藤宽太,2025,剧情,日本,126分钟,7.6,3653,,1740,17
趣塔德庄园,吉姆·奥汉龙,戴米恩·路易斯 / 凯瑟琳·沃特斯顿 / 托马辛·麦肯齐 / 本·拉德克利夫 / 汤姆·费尔顿 / 艾玛·莱尔德 / 李·布罗德曼 / 汤姆·古德曼-希尔 / 吉米·卡尔 / 莉莉·奈特 / 亚当·伍德沃德 / 查理·罗尔斯 / 卢卡斯·凯利 / 内森·霍尔 / 亚历山大·巴特勒,2025,喜剧,英国,97分钟,7.2,6084,,2778,8
暗流低语,伊恩·图阿松,尼娜·凯莉 / 亚当·迪马科 / 米歇尔·迪凯 / 基娜·巴斯蒂达斯 / 容海峰 / 瑞安·特纳 / 阿里·米伦 / 马里索尔·德安德烈亚 / 奥斯汀·图阿松 / 塞莱德·卡尔德龙 / 比安卡·努加拉 / 杰达·伍兹 / 莎拉·博丹 / 克里斯蒂娜·诺托,2025,科幻 / 惊悚 / 恐怖,加拿大,93分钟,5.7,2269,,1112,9
黑煞女2,普蒂蓬·塞西甲,丘普朗·阿瑞昆 / 杰克林·坤万齐提柴 / 萍玛达·柴莎索恩 / 齐纳吾·英塔拉库辛 / D-na Suriwatsa Vivatvanit / 西瓦·詹隆库 / 南思睿 / Guntapat Kasemsan Na Ayudhya / 比吉卡·吉塔弗塔 / Suthita Chanachaisuwan,2026,剧情 / 悬疑 / 惊悚,泰国,125分钟,6.5,1613,,581,5
最后的KPI,纳瓦彭·坦荣瓜塔纳利,帕拉帕蒙通·伊埃猜 / 帕奥佩茨·查伦舒克 / 查纳坎·拉塔纳乌东 / 萍玛达·柴莎索恩 / 黛莉娜·班楚,2025,剧情,泰国,122分钟,6.8,1684,,979,13
惊声尖叫7,凯文·威廉姆森,内芙·坎贝尔 / 柯特妮·考克斯 / 伊莎贝尔·梅 / 贾思敏·萨沃伊·布朗 / 梅森·古丁 / 罗格·杰克逊 / 安娜·坎普 / 乔尔·麦克哈尔 / 塞莱斯特·奥康纳 / 萨姆·雷希纳 / 阿萨·格尔曼 / 麦肯娜·格瑞丝 / 马修·里沃德 / 克雷格·戴恩 / 伊桑·恩布里,2026,悬疑 / 恐怖,美国 / 加拿大,109分钟,5.2,5672,,2249,16
临租家庭,宫崎光代,布兰登·费舍 / 平岳大 / 山本真理 / 香农·戈尔曼 / 柄本明 / 尼希 / 古川雁 / 金隆夫 / 小松裕司 / 长田凉子 / 保罗·安德里亚·迪·皮耶特罗 / 木村文哉 / 龟田梨纱 / 加奈·凯蒂 / 尾关伸嗣,2025,剧情 / 喜剧,日本 / 美国,109分钟,7.3,9514,,4002,40
铁血战士：杀戮之地,丹·特拉亨伯格,艾丽·范宁 / 迪米特里乌斯·舒斯特-科洛阿玛坦吉 / 拉维·纳亚兰 / 迈克尔·霍米克 / 斯特凡·格鲁贝 / 鲁本·德容 / 卡梅伦·布朗 / 艾莉森·赖特 / 马特·达菲 / 罗斯·达菲,2025,动作 / 科幻 / 惊悚,美国 / 澳大利亚 / 新西兰 / 加拿大 / 德国,107分钟,7.3,92572,,33952,261
藤本树 17-26,长屋诚志郎 / 木村延景 / 武内宣之 / 安藤尚也 / 渡边彻明 / 寺泽和晃 / 本间修,小野贤章 / 樱井诗音 / 浦和希 / 熊谷俊辉 / 安济知佳 /  冈野阳一 / 堀江瞬 / 若山诗音 / 花泽香菜 / 杉田智和 / 菊田千瑛 / 幸村惠理 / 榊原优希 / 河濑茉希 / 山下诚一郎,2025,剧情 / 科幻 / 动画,日本,144分钟,8.2,6499,,2412,18
星河入梦,韩延,王鹤棣 / 宋茜 / 祖峰 / 罗海琼 / 汪铎 / 谢楠 / 庞博,2026,科幻 / 奇幻 / 冒险,中国大陆 / 中国香港,111分钟,6.8,116738,,71152,1531
核,陈思攸,郑凯心 / 李雯 / 林诗安 / 陈琡璇 / 高捷 / 黄文宝 / 许优美 / 陈乔 / 颜橦 / 卓桂枝,2025,剧情,新加坡 / 荷兰 / 法国 / 西班牙 / 韩国,98分钟,6.7,1872,,1099,12
一个悲伤而美丽的世界,西里尔·阿里斯,穆尼亚·阿克 / 朱莉娅·卡萨 / 亚历克斯·乔埃里 / 哈桑·阿基尔 / 吉安娜·雷斯托姆 / 马塞尔·贾布尔 / 安东尼·卡拉姆 / 瓦利德·哈达德 / 桑迪·查穆恩 / 卡米尔·萨拉米 / 迈克尔·卡拉姆 / 约瑟夫·泽伊图尼 / 斯蒂芬妮·诺拉 / 纳丁·查尔胡布 / 谢琳·库里,2025,剧情 / 喜剧 / 爱情,黎巴嫩 / 德国 / 美国 / 沙特阿拉伯 / 卡塔尔,110分钟,7.0,530,,234,2
团战之夜,戈尔·维宾斯基,山姆·洛克威尔 / 史蒂夫·马克 / 坦娅·范·格拉恩 / 卡西尔·伊托克-威尼克 / 朱诺·坦普尔 / 迈克尔·佩纳 / 海莉·露·理查森 / 莎姬·贝兹 / 阿西姆·乔杜里 / 汤姆·泰勒 / 亚当·伯顿 / 迪诺·费切尔 / 乔治娅·古德曼 / 康拉德·坎普 / 迈克·加萨威,2025,剧情 / 喜剧 / 科幻,德国 / 美国,134分钟,6.6,7031,,2564,26
